PID;USER;PR;NI;VIRT;RES;SHR;S;%CPU;%MEM;TIME+;COMMAND
2379;root;0;-20;0;0;0;S;0.0;0.0;0:00.00;[scsi_tmf_20]
2441;root;20;0;0;0;0;S;0.0;0.0;0:00.00;[scsi_eh_21]
2448;root;0;-20;0;0;0;S;0.0;0.0;0:00.00;[scsi_tmf_21]
2452;root;20;0;0;0;0;S;0.0;0.0;0:00.00;[scsi_eh_22]
2453;root;0;-20;0;0;0;S;0.0;0.0;0:00.00;[scsi_tmf_22]
2462;root;20;0;0;0;0;S;0.0;0.0;0:00.00;[scsi_eh_23]
2480;root;0;-20;0;0;0;S;0.0;0.0;0:00.00;[scsi_tmf_23]
2497;root;20;0;0;0;0;S;0.0;0.0;0:00.00;[scsi_eh_24]
2498;root;0;-20;0;0;0;S;0.0;0.0;0:00.00;[scsi_tmf_24]
2500;root;20;0;0;0;0;S;0.0;0.0;0:00.00;[scsi_eh_25]
2507;root;0;-20;0;0;0;S;0.0;0.0;0:00.00;[scsi_tmf_25]
2513;root;20;0;0;0;0;S;0.0;0.0;0:00.00;[scsi_eh_26]
2517;root;0;-20;0;0;0;S;0.0;0.0;0:00.00;[scsi_tmf_26]
2520;root;20;0;0;0;0;S;0.0;0.0;0:00.00;[scsi_eh_27]
2525;root;0;-20;0;0;0;S;0.0;0.0;0:00.00;[scsi_tmf_27]
2552;root;20;0;0;0;0;S;0.0;0.0;0:00.00;[scsi_eh_28]
2569;root;0;-20;0;0;0;S;0.0;0.0;0:00.00;[scsi_tmf_28]
2571;root;20;0;0;0;0;S;0.0;0.0;0:00.00;[scsi_eh_29]
2587;root;0;-20;0;0;0;S;0.0;0.0;0:00.00;[scsi_tmf_29]
2600;root;20;0;0;0;0;S;0.0;0.0;0:00.00;[scsi_eh_30]
2611;root;0;-20;0;0;0;S;0.0;0.0;0:00.00;[scsi_tmf_30]
2612;root;20;0;0;0;0;S;0.0;0.0;0:00.00;[scsi_eh_31]
2620;root;0;-20;0;0;0;S;0.0;0.0;0:00.00;[scsi_tmf_31]
2631;root;20;0;0;0;0;S;0.0;0.0;0:00.00;[scsi_eh_32]
2637;root;0;-20;0;0;0;S;0.0;0.0;0:00.00;[scsi_tmf_32]
3709;mysql;20;0;31.8g;3.2g;6780;S;0.0;6.4;2528:52;/usr/sbin/mysqld
3820;root;0;-20;0;0;0;S;0.0;0.0;0:00.00;[kdmflush]
3821;root;0;-20;0;0;0;S;0.0;0.0;0:00.00;[bioset]
3837;root;0;-20;0;0;0;S;0.0;0.0;0:00.00;[kdmflush]
3838;root;0;-20;0;0;0;S;0.0;0.0;0:00.00;[bioset]
3857;root;0;-20;0;0;0;S;0.0;0.0;0:00.00;[bioset]
3863;root;0;-20;0;0;0;S;0.0;0.0;0:00.01;[xfsalloc]
3864;root;0;-20;0;0;0;S;0.0;0.0;0:00.00;[xfs_mru_cache]
